date,actual,forecast
2027-01-02,0,0.07490706
2027-01-03,0,0.046638306
2027-01-04,0,0.041513406
2027-01-05,0,0.041513406
2027-01-06,0,0.03302912
2027-01-07,0,0.03302912
2027-01-08,0,0.03302912
2027-01-09,1,0.049788747
2027-01-10,0,0.049788747
2027-01-11,0,0.0248861
2027-01-12,0,0.0248861
2027-01-13,0,0.03356487
2027-01-14,0,0.03356487
2027-01-15,0,0.03356487
2027-01-16,0,0.05547381
2027-01-17,0,0.05547381
2027-01-18,0,0.05547381
2027-01-19,0,0.05547381
2027-01-20,0,0.05547381
2027-01-21,0,0.077671126
2027-01-22,2,0.077671126
2027-01-23,0,0.07656209
2027-01-24,0,0.07404622
2027-01-25,0,0.07404622
2027-01-26,0,0.07404622
2027-01-27,0,0.07216251
2027-01-28,0,0.078586504
2027-01-29,0,0.078586504
2027-01-30,1,0.078586504
2027-01-31,0,0.05849371
2027-02-01,0,0.05849371
2027-02-02,0,0.07080995
2027-02-03,0,0.07080995
2027-02-04,0,0.07080995
2027-02-05,0,0.06573405
2027-02-06,0,0.06573405
2027-02-07,0,0.06573405
2027-02-08,0,0.06573405
2027-02-09,0,0.06573405
2027-02-10,0,0.08265908
2027-02-11,0,0.08265908
2027-02-12,0,0.081087425
2027-02-13,0,0.041957863
2027-02-14,0,0.054495793
2027-02-15,0,0.054495793
2027-02-16,0,0.054495793
2027-02-17,1,0.054495793
2027-02-18,0,0.054495793
2027-02-19,0,0.05092284
2027-02-20,0,0.05620618
2027-02-21,0,0.05620618
2027-02-22,0,0.051647343
2027-02-23,0,0.051647343
2027-02-24,0,0.05929111
2027-02-25,0,0.05929111
2027-02-26,0,0.04784936
2027-02-27,0,0.04502091
2027-02-28,0,0.04502091
2027-03-01,0,0.06357049
2027-03-02,0,0.0764311
2027-03-03,0,0.06908691
2027-03-04,1,0.06908691
2027-03-05,0,0.048435345
2027-03-06,0,0.048435345
2027-03-07,0,0.048435345
2027-03-08,0,0.11857835
2027-03-09,0,0.11249355
2027-03-10,0,0.11249355
2027-03-11,0,0.04677853
2027-03-12,0,0.04677853
2027-03-13,0,0.04677853
2027-03-14,0,0.04677853
2027-03-15,0,0.04677853
2027-03-16,0,0.04677853
2027-03-17,0,0.04677853
2027-03-18,0,0.0693218
2027-03-19,0,0.0693218
2027-03-20,0,0.0693218
2027-03-21,0,0.0693218
2027-03-22,0,0.059358113
2027-03-23,0,0.059358113
2027-03-24,0,0.059358113
2027-03-25,0,0.04729779
2027-03-26,0,0.04729779
2027-03-27,0,0.04729779
2027-03-28,0,0.045999184
2027-03-29,0,0.055800322
2027-03-30,0,0.036618743
2027-03-31,0,0.036618743
2027-04-01,0,0.036618743
2027-04-02,0,0.036618743
2027-04-03,0,0.036618743
2027-04-04,0,0.035661407
2027-04-05,0,0.035661407
2027-04-06,0,0.035661407
2027-04-07,0,0.035661407
2027-04-08,0,0.035661407
2027-04-09,0,0.035661407
2027-04-10,0,0.035661407
2027-04-11,0,0.035661407
2027-04-12,1,0.035661407
2027-04-13,0,0.035661407
2027-04-14,0,0.035661407
2027-04-15,0,0.035661407
2027-04-16,0,0.04040879
2027-04-17,0,0.04040879
2027-04-18,0,0.04040879
2027-04-19,0,0.052916154
2027-04-20,0,0.052916154
2027-04-21,0,0.056309626
2027-04-22,0,0.06289999
2027-04-23,0,0.06289999
2027-04-24,0,0.057327237
2027-04-25,0,0.0541868
2027-04-26,0,0.0541868
2027-04-27,0,0.0541868
2027-04-28,0,0.0541868
2027-04-29,0,0.0541868
2027-04-30,0,0.0541868
2027-05-01,0,0.04928775
2027-05-02,1,0.04928775
2027-05-03,0,0.0632138
2027-05-04,0,0.0632138
2027-05-05,0,0.0632138
2027-05-06,0,0.0632138
2027-05-07,0,0.0632138
2027-05-08,0,0.0632138
2027-05-09,0,0.05086214
2027-05-10,0,0.05086214
2027-05-11,0,0.050142135
2027-05-12,0,0.050142135
2027-05-13,0,0.050142135
2027-05-14,0,0.050142135
2027-05-15,0,0.050142135
2027-05-16,0,0.050142135
2027-05-17,0,0.050142135
2027-05-18,0,0.050142135
2027-05-19,0,0.050142135
2027-05-20,0,0.050142135
