,dealer_id,part_type,total_costs,ISL,total_stockouts,total_demand,immediate_fulfilled,backorder_fulfileed
0,D00,type0,4.078972602739727,1.0,0,21,21,0
1,D00,type1,3.7967301369863145,1.0,0,22,22,0
2,D00,type2,438.3071981889442,0.9965753424657534,1,292,291,1
3,D00,type3,225.55119589041107,1.0,0,260,260,0
4,D00,type4,4.17545753424655,1.0,0,16,16,0
5,D01,type0,3.6685109589041365,1.0,0,30,30,0
6,D01,type1,3.952356164383569,1.0,0,26,26,0
7,D01,type2,4.49905068493152,1.0,0,6,6,0
8,D01,type3,187.32122602739736,1.0,0,151,151,0
9,D01,type4,163.63813835616446,1.0,0,96,96,0
10,D01,type5,4.1092643835616665,1.0,0,20,20,0
